table_name	table_rows	engine	table_collation	table_comment
base_approval_process	10	InnoDB	utf8mb4_general_ci	审批流程
base_approval_process_detail	11	InnoDB	utf8mb4_general_ci	
base_approval_process_detail_copy	0	InnoDB	utf8mb4_general_ci	
crm_msgconfig	0	InnoDB	utf8mb4_general_ci	CRM系统消息通知配置
dig_abnormal_clock	0	InnoDB	utf8mb4_general_ci	异常考勤管理
dig_account	4	InnoDB	utf8mb4_general_ci	 收支账户
dig_accountopen_apply	189	InnoDB	utf8mb4_general_ci	开户申请
dig_adveraccount_wallet	11985	InnoDB	utf8mb4_general_ci	广告账户钱包表
dig_adveracoount_recharge	1246	InnoDB	utf8mb4_general_ci	 广告账户充值记录
dig_advertising_account	12617	InnoDB	utf8mb4_general_ci	 广告账户
dig_advertising_tag	572	InnoDB	utf8mb4_general_ci	广告账户标签表
\n
dig_assessment	0	InnoDB	utf8mb4_general_ci	考核记录表
dig_assessment_rule	0	InnoDB	utf8mb4_general_ci	考核规则表
dig_bank_statement	360	InnoDB	utf8mb4_general_ci	导入-银行流水记录
dig_become_worker	0	InnoDB	utf8mb4_general_ci	转正申请
dig_bussiness_statelog	1460	InnoDB	utf8mb4_general_ci	业务数据操作状态日志
dig_cashrecharge	145	InnoDB	utf8mb4_general_ci	 现金充值记录
dig_cash_flow	2	InnoDB	utf8mb4_general_ci	现金流水记录表
dig_consume	0	InnoDB	utf8mb4_general_ci	渠道消耗记录表
dig_consume_importtemp	0	InnoDB	utf8mb4_general_ci	渠道消耗记录表
dig_consume_refrecharge	0	InnoDB	utf8mb4_general_ci	消耗和账号充值转入的对接中间表，用于计算每条消耗和广告账号的关联现金，计算业绩提成
dig_contract	0	InnoDB	utf8mb4_general_ci	员工劳动合同
dig_costrecord	0	InnoDB	utf8mb4_general_ci	费用记录
dig_cusneworder_bill	0	InnoDB	utf8mb4_general_ci	客户的首单首续流水
dig_customer	396	InnoDB	utf8mb4_general_ci	客户表 
dig_customer_account	0	InnoDB	utf8mb4_general_ci	
dig_customer_bill	1616	InnoDB	utf8mb4_general_ci	客户广告账户账单明细
dig_customer_bill_split	47	InnoDB	utf8mb4_general_ci	客户现金流水拆分明细
dig_customer_brand	0	InnoDB	utf8mb4_general_ci	客户品牌返点计算表
dig_customer_contract	0	InnoDB	utf8mb4_general_ci	客户合同
dig_customer_expand	111	InnoDB	utf8mb4_general_ci	客户待处理信息扩展表
dig_customer_followup	0	InnoDB	utf8mb4_general_ci	客户跟进记录
dig_customer_limit_apply	254	InnoDB	utf8mb4_general_ci	客户垫款额度申请变更
dig_customer_refcontract	0	InnoDB	utf8mb4_general_ci	
