table_name	ordinal_position	column_name	column_type	is_nullable	column_default	column_key	column_comment
base_approval_process	1	id	int(11)	NO	NULL	PRI	主键id
base_approval_process	2	no	varchar(30)	YES	NULL		流程编号
base_approval_process	3	user_id	int(11)	YES	NULL		用户编号
base_approval_process	4	user_name	varchar(100)	YES	NULL		用户名称
base_approval_process	5	dept_id	int(11)	YES	NULL		部门id
base_approval_process	6	dept_name	varchar(100)	YES	NULL		部门名称
base_approval_process	7	role_id	int(11)	YES	NULL		角色id
base_approval_process	8	role_name	varchar(100)	YES	NULL		角色名称
base_approval_process	9	sort	int(11)	YES	0		排序(倒叙)
base_approval_process	10	del_flag	char(1)	YES	0		删除标志（0代表存在 2代表删除）
base_approval_process	11	create_by	varchar(64)	YES			创建者
base_approval_process	12	create_time	datetime	YES	NULL		创建时间
base_approval_process	13	update_by	varchar(64)	YES			更新者
base_approval_process	14	update_time	datetime	YES	NULL		更新时间
base_approval_process	15	revision	int(11)	YES	0		乐观锁版本号
base_approval_process	16	type	char(1)	YES	NULL		审批类型 （0 按人员 1按角色）
base_approval_process	17	limit_start	decimal(18,2)	YES	0.00		
base_approval_process	18	limit_end	decimal(18,2)	YES	0.00		
base_approval_process_detail	1	id	int(11)	NO	NULL	PRI	
base_approval_process_detail	2	approval_id	int(11)	YES	NULL		主表ID，base_approval_process
base_approval_process_detail	3	type	varchar(10)	YES	NULL		审批类型 （0 按人员 1按角色）
base_approval_process_detail	4	user_id	int(11)	YES	NULL		用户编号
base_approval_process_detail	5	user_name	varchar(100)	YES	NULL		用户名称
base_approval_process_detail	6	dept_id	int(11)	YES	NULL		部门id
base_approval_process_detail	7	dept_name	varchar(100)	YES	NULL		部门名称
base_approval_process_detail	8	role_id	int(11)	YES	NULL		角色id
base_approval_process_detail	9	role_name	varchar(100)	YES	NULL		角色名称
base_approval_process_detail	10	limit_start	decimal(18,2)	YES	0.00		
base_approval_process_detail	11	limit_end	decimal(18,2)	YES	0.00		
base_approval_process_detail	12	account_type	varchar(255)	YES	NULL		业务类型客户类型
base_approval_process_detail_copy	1	id	int(11)	NO	NULL	PRI	
base_approval_process_detail_copy	2	approval_id	int(11)	YES	NULL		主表ID，base_approval_process
base_approval_process_detail_copy	3	type	varchar(10)	YES	NULL		审批类型 （0 按人员 1按角色）
base_approval_process_detail_copy	4	user_id	int(11)	YES	NULL		用户编号
base_approval_process_detail_copy	5	user_name	varchar(100)	YES	NULL		用户名称
base_approval_process_detail_copy	6	dept_id	int(11)	YES	NULL		部门id
base_approval_process_detail_copy	7	dept_name	varchar(100)	YES	NULL		部门名称
base_approval_process_detail_copy	8	role_id	int(11)	YES	NULL		角色id
base_approval_process_detail_copy	9	role_name	varchar(100)	YES	NULL		角色名称
base_approval_process_detail_copy	10	limit_start	decimal(18,2)	YES	0.00		
base_approval_process_detail_copy	11	limit_end	decimal(18,2)	YES	0.00		
base_approval_process_detail_copy	12	account_type	varchar(255)	YES	NULL		业务类型客户类型
crm_msgconfig	1	id	int(11)	NO	NULL	PRI	
crm_msgconfig	2	msgtype	int(11)	YES	0		消息类型 1-快手账户充值申请 2-快手转户申请 3-快手退币申请 4-抖音账户充值申请 5-抖音转户申请 6-抖音退币申请
crm_msgconfig	3	userIds	varchar(255)	YES	NULL		人员IDS
crm_msgconfig	4	userNames	varchar(255)	YES	NULL		人员名称s
crm_msgconfig	5	roleIds	varchar(100)	YES	NULL		岗位IDs，多个逗号分割
crm_msgconfig	6	roleNames	varchar(200)	YES	NULL		岗位名称s
crm_msgconfig	7	datatype	char(1)	YES	NULL		数据类型：1-按角色 2-按人员 3-按申请人部门负责人
crm_msgconfig	8	create_by	int(11)	YES	0		创建人
crm_msgconfig	9	create_time	datetime	YES	NULL		创建时间
crm_msgconfig	10	datajson	text	YES	NULL		
dig_abnormal_clock	1	id	int(11)	NO	NULL	PRI	主键id
dig_abnormal_clock	2	user_id	bigint(20)	YES	NULL		员工id
dig_abnormal_clock	3	user_name	varchar(100)	YES	NULL		员工名称
dig_abnormal_clock	4	dept_id	bigint(20)	YES	NULL		部门id
dig_abnormal_clock	5	dept_name	varchar(100)	YES	NULL		部门名称
dig_abnormal_clock	6	abnormal_time	datetime	YES	NULL		异常时间
dig_abnormal_clock	7	del_flag	char(1)	YES	0		删除标志（0代表存在 2代表删除）
dig_abnormal_clock	8	create_by	varchar(64)	YES			创建者
dig_abnormal_clock	9	create_time	datetime	YES	NULL		创建时间
dig_abnormal_clock	10	update_by	varchar(64)	YES			更新者
dig_abnormal_clock	11	update_time	datetime	YES	NULL		更新时间
dig_abnormal_clock	12	remark	varchar(500)	YES	NULL		备注 (异常原因)
dig_abnormal_clock	13	revision	int(11)	YES	0		乐观锁版本号
dig_account	1	id	bigint(20)	NO	NULL	PRI	ID
dig_account	2	account_name	varchar(32)	YES	NULL		账户名称
dig_account	3	account_type	int(1)	YES	1		账户类型1-银行卡2-支付宝3-微信
dig_account	4	account_number	varchar(32)	YES	NULL		账户号码
dig_account	5	bankname	varchar(32)	YES	NULL		开户行
dig_account	6	balance	decimal(32,2)	YES	0.00		当前余额
dig_account	7	revision	int(11)	YES	0		版本号
dig_account	8	create_by	int(11)	YES	NULL		创建人
dig_account	9	create_time	datetime	YES	NULL		创建时间
dig_account	10	update_by	varchar(32)	YES	NULL		更新人
dig_account	11	update_time	datetime	YES	NULL		更新时间
