menu_id	parent_id	order_num	menu_type	menu_name	path	component	perms	visible	status	is_frame
1064	0	50	M	快手事业部	kuaishou	NULL		0	1	1
1096	0	55	M	抖音事业部	douyin	NULL		0	0	1
1567	0	57	M	腾讯事业部	tencent			0	1	1
1715	0	58	M	其他媒体	otherMedia	NULL		0	0	1
1865	0	58	M	小红书事业部	xhs	NULL		0	1	1
1069	0	60	M	合同/发票	contract	NULL		0	0	1
1071	0	70	M	财务管理	finance	NULL		0	0	1
1061	0	75	M	人事行政	users	NULL		0	0	1
1074	0	90	M	公共管理	common	NULL		0	0	1
1075	0	100	M	报表管理	report	NULL		0	0	1
1	0	110	M	系统管理	system	NULL		0	0	1
1089	0	110	M	通知管理	notice	NULL		1	1	1
3	0	130	M	系统工具	tool	NULL		0	0	1
2	0	140	M	系统监控	monitor	NULL		0	0	1
1082	1	10	C	个人中心	user/profile	system/user/profile/index		0	0	1
102	1	30	C	菜单管理	menu	system/menu/index	system:menu:list	0	0	1
104	1	50	C	岗位管理2	post	system/post/index	system:post:list	1	1	1
105	1	60	C	字典管理	dict	system/dict/index	system:dict:list	0	0	1
106	1	70	C	参数设置	config	system/config/index	system:config:list	0	0	1
108	1	90	M	日志管理	log			0	0	1
1106	1	95	C	审批流程配置	approval	approval/approval	approval:approval:list	0	0	1
109	2	1	C	在线用户	online	monitor/online/index	monitor:online:list	0	0	1
110	2	2	C	定时任务	job	monitor/job/index	monitor:job:list	0	0	1
111	2	3	C	数据监控	druid	monitor/druid/index	monitor:druid:list	0	0	1
112	2	4	C	服务监控	server	monitor/server/index	monitor:server:list	0	0	1
113	2	5	C	缓存监控	cache	monitor/cache/index	monitor:cache:list	0	0	1
1861	3	0	M	系统文档	localhost:8084	NULL		0	0	1
114	3	1	C	表单构建	build	tool/build/index	tool:build:list	0	0	1
1267	3	1	C	echarts演示	index_v1	index_v1		0	0	1
115	3	2	C	代码生成	gen	tool/gen/index	tool:gen:list	0	0	1
116	3	3	C	系统接口	swagger	tool/swagger/index	tool:swagger:list	0	0	1
1001	100	1	F	用户查询			system:user:query	0	0	1
1002	100	2	F	用户新增			system:user:add	0	0	1
1003	100	3	F	用户修改			system:user:edit	0	0	1
1004	100	4	F	用户删除			system:user:remove	0	0	1
1005	100	5	F	用户导出			system:user:export	0	0	1
1006	100	6	F	用户导入			system:user:import	0	0	1
1007	100	7	F	重置密码			system:user:resetPwd	0	0	1
1008	101	1	F	角色查询			system:role:query	0	0	1
1009	101	2	F	角色新增			system:role:add	0	0	1
