t	c	total	notnull	meaningful	distinct_n
dig_advertising_account	id	12614	12614	12614	12614
dig_advertising_account	customer_id	12614	12614	12614	278
dig_advertising_account	subject_id	12614	12614	12614	1790
dig_advertising_account	shop_id	12614	12614	12614	7907
dig_advertising_account	account_no	12614	12614	12614	12468
dig_advertising_account	account_name	12614	12614	12614	12128
dig_advertising_account	currencymoney	12614	12614	253	177
dig_advertising_account	incentives	12614	12614	0	1
dig_advertising_account	returnmoney	12614	12614	0	1
dig_advertising_account	service_id	12614	12614	0	1
dig_advertising_account	service_name	12614	3562	0	1
dig_advertising_account	remark	12614	12541	12541	4
dig_advertising_account	revision	12614	12614	253	28
dig_advertising_account	create_by	12614	11307	11307	7
dig_advertising_account	create_time	12614	12614	12614	268
dig_advertising_account	update_by	12614	860	860	11
dig_advertising_account	update_time	12614	860	860	373
dig_advertising_account	del_flag	12614	12614	0	1
dig_advertising_account	type	12614	12614	12614	6
dig_advertising_account	run_status	12614	12614	0	1
dig_advertising_account	editor_id	12614	12614	0	1
dig_advertising_account	editor_name	12614	12614	0	1
dig_advertising_account	account_ratio	12614	14	5	4
dig_advertising_account	ks_agentId	12614	12614	8985	2
dig_advertising_account	supplier_id	12614	12614	12614	17
dig_advertising_account	dy_agentId	12614	12614	12614	1
dig_advertising_account	secondary_industry	12614	2681	2681	105
dig_advertising_account	primary_industry	12614	2681	2681	23
dig_advertising_account	consume	12614	12614	799	764
dig_advertising_account	after_ratio	12614	13	0	1
dig_advertising_account	customer_type	12614	12614	12614	2
dig_advertising_account	original_subjectid	12614	12614	3542	986
dig_advertising_account	advertiser_id	12614	3489	0	1
dig_advertising_account	account_service_point	12614	0	0	0
dig_advertising_account	data_type	12614	12614	12614	2
dig_adveracoount_recharge	id	1283	1283	1283	1283
dig_adveracoount_recharge	cashrecharge_id	1283	1283	15	16
dig_adveracoount_recharge	customer_id	1283	1283	1283	101
dig_adveracoount_recharge	adveraccount_id	1283	1283	1283	253
dig_adveracoount_recharge	cash_recharge	1283	1283	1283	263
dig_adveracoount_recharge	currency_recharge	1283	1283	1283	215
dig_adveracoount_recharge	credit_pay	1283	1283	1229	257
dig_adveracoount_recharge	cash_pay	1283	1283	65	54
dig_adveracoount_recharge	opentypes	1283	1283	1283	1
dig_adveracoount_recharge	service_charge	1283	1283	0	1
dig_adveracoount_recharge	supplier_id	1283	1283	1283	11
dig_adveracoount_recharge	supplier_name	1283	1280	1280	12
dig_adveracoount_recharge	actual_expenditure	1283	1283	1280	217
dig_adveracoount_recharge	supplier_accountid	1283	1283	0	1
dig_adveracoount_recharge	supplier_ratio	1283	1283	1280	2
dig_adveracoount_recharge	payment_types	1283	1283	0	1
dig_adveracoount_recharge	approval_state	1283	1283	1283	2
